,Country 1,Country 2
0,Abkhazia,Russia
1,Abkhazia,Georgia
2,Afghanistan,People's Republic of China
3,Afghanistan,Iran
4,Afghanistan,Pakistan
5,Afghanistan,Tajikistan
6,Afghanistan,Turkmenistan
7,Afghanistan,Uzbekistan
8,Albania,Greece
9,Albania,Kosovo
10,Albania,North Macedonia
11,Albania,Montenegro
12,Algeria,Libya
13,Algeria,Mali
14,Algeria,Mauritania
15,Algeria,Morocco
16,Algeria,Niger
17,Algeria,Tunisia
18,Algeria,Western Sahara
19,Andorra,France
20,Andorra,Spain
21,Angola,Democratic Republic of the Congo
22,Angola,Republic of the Congo
23,Angola,Namibia
24,Angola,Zambia
25,Argentina,Bolivia
26,Argentina,Brazil
27,Argentina,Chile
28,Argentina,Paraguay
29,Argentina,Uruguay
30,Armenia,Azerbaijan
31,Armenia,Georgia
32,Armenia,Iran
33,Armenia,Turkey
34,Austria,Czech Republic
35,Austria,Germany
36,Austria,Hungary
37,Austria,Italy
38,Austria,Liechtenstein
39,Austria,Slovakia
40,Austria,Slovenia
41,Austria,Switzerland
42,Azerbaijan,Georgia
43,Azerbaijan,Iran
44,Azerbaijan,Russia
45,Azerbaijan,Turkey
46,Bangladesh,India
47,Bangladesh,Dahagram-Angarpota
48,Bangladesh,Myanmar
49,Belarus,Latvia
50,Belarus,Lithuania
51,Belarus,Poland
52,Belarus,Russia
53,Belarus,Ukraine
54,Belgium,France
55,Belgium,Germany
56,Belgium,Luxembourg
57,Belgium,Netherlands
58,Belize,Guatemala
59,Belize,Mexico
60,Benin,Burkina Faso
61,Benin,Niger
62,Benin,Nigeria
63,Benin,Togo
64,Bhutan,People's Republic of China
65,Bhutan,India
66,Bolivia,Brazil
67,Bolivia,Chile
68,Bolivia,Paraguay
69,Bolivia,Peru
70,Bosnia and Herzegovina,Croatia
71,Bosnia and Herzegovina,Montenegro
72,Bosnia and Herzegovina,Serbia
73,Botswana,Namibia
74,Botswana,South Africa
75,Botswana,Zambia
76,Botswana,Zimbabwe
77,Brazil,Colombia
78,Brazil,French Guiana
79,Brazil,France
80,Brazil,Guyana
81,Brazil,Paraguay
82,Brazil,Peru
83,Brazil,Suriname
84,Brazil,Uruguay
85,Brazil,Venezuela
86,Brunei,Malaysia
87,Bulgaria,Greece
88,Bulgaria,North Macedonia
89,Bulgaria,Romania
90,Bulgaria,Serbia
91,Bulgaria,Turkey
92,Burkina Faso,Côte d'Ivoire
93,Burkina Faso,Ghana
94,Burkina Faso,Mali
95,Burkina Faso,Niger
96,Burkina Faso,Togo
97,Burundi,Democratic Republic of the Congo
98,Burundi,Rwanda
99,Burundi,Tanzania
100,Cambodia,Laos
101,Cambodia,Thailand
102,Cambodia,Vietnam
103,Cameroon,Central African Republic
