IATA Code,Airport,Annual Passengers,Country,Location,Passenger Role
ANU,V. C. Bird International Airport,919748,Antigua and Barbuda,Antigua,Small
AUA,Queen Beatrix International Airport,2089021,Aruba,Oranjestad,Small
NAS,Lynden Pindling International Airport,3339876,Bahamas,Nassau,Medium
BGI,Grantley Adams International Airport,1966789,Barbados,Bridgetown,Small
EIS,Terrance B. Lettsome International Airport,310089,British Virgin Islands,Road Town,Non-Hub
BON,Flamingo International Airport,462897,Caribbean Netherlands,"Kralendijk, Bonaire",Small
GCM,Owen Roberts International Airport,1035826,Cayman Islands,Georgetown,Small
HAV,José Martí International Airport,4067980,Cuba,Havana,Medium
SCU,Antonio Maceo Airport,280000,Cuba,Santiago de Cuba,Non-Hub
CUR,Curaçao International Airport,1835000,Curaçao,Willemstad,Small
LRM,La Romana International Airport,208749,Dominican Republic,La Romana,Non-Hub
PUJ,Punta Cana International Airport,6366552,Dominican Republic,Punta Cana,Medium
STI,Cibao International Airport,1319490,Dominican Republic,Santiago de los Caballeros,Small
SDQ,Las Américas International Airport,3537306,Dominican Republic,Santo Domingo,Medium
PTP,Pointe-à-Pitre International Airport,2089763,Guadeloupe,Pointe-à-Pitre,Small
PAP,Toussaint Louverture International Airport,1500521,Haiti,Port-au-Prince,Small
KIN,Norman Manley International Airport,1502973,Jamaica,Kingston,Small
MBJ,Sangster International Airport,3800608,Jamaica,Montego Bay,Medium
FDF,Martinique Aimé Césaire International Airport,1729711,Martinique,Fort-de-France,Small
BQN,Rafael Hernández Airport,471228,Puerto Rico,Aguadilla,Small
SJU,Luis Muñoz Marín International Airport,8733161,Puerto Rico,San Juan,Medium
SKB,Robert L. Bradshaw International Airport,350727,Saint Kitts and Nevis,Saint Kitts,Small
UVF,Hewanorra International Airport,620401,Saint Lucia,Vieux Fort Quarter,Small
SXM,Princess Juliana International Airport,1645105,Sint Maarten,Philipsburg,Small
POS,Piarco International Airport,2504469,Trinidad and Tobago,Port of Spain,Small
TAB,A.N.R. Robinson International Airport,739622,Trinidad and Tobago,Tobago,Small
STT,Cyril E. King Airport,1215000,U.S. Virgin Islands,Saint Thomas,Small
STX,Henry E. Rohlsen Airport,375000,U.S. Virgin Islands,Saint Croix,Small
BDA,L.F. Wade International Airport,,Bermuda,St. George's,Small
YXX,Abbotsford International Airport,487833,Canada,Abbotsford,Non-Hub
YYC,Calgary International Airport,15475759,Canada,Calgary,Medium
YYG,Charlottetown Airport,316628,Canada,Charlottetown,Non-Hub
YEG,Edmonton International Airport,7981074,Canada,Edmonton,Medium
YFC,Fredericton International Airport,349832,Canada,Fredericton,Non-Hub
YHZ,Halifax Stanfield International Airport,10897234,Canada,Halifax (Goffs),Medium
YHM,John C. Munro Hamilton International Airport,312839,Canada,Hamilton,Non-Hub
YLW,Kelowna International Airport,1593606,Canada,Kelowna,Small
YQM,Greater Moncton Roméo LeBlanc International Airport,644275,Canada,Moncton (Dieppe),Small
YUL,Montréal–Trudeau International Airport,15517382,Canada,Montreal (Dorval),Medium
YOW,Ottawa Macdonald–Cartier International Airport,4656360,Canada,Ottawa,Medium
YQB,Québec City Jean Lesage International Airport,1584713,Canada,Quebec City,Small
YQR,Regina International Airport,1255957,Canada,Regina,Small
YXE,Saskatoon John G. Diefenbaker International Airport,1443446,Canada,Saskatoon,Small
YYT,St. John's International Airport,1536000 (est.),Canada,St. John's,Small
YYZ,Toronto Pearson International Airport,41036847,Canada,Toronto (Mississauga),Large
YVR,Vancouver International Airport,20315978,Canada,Vancouver (Richmond),Large
YYJ,Victoria International Airport,1710825,Canada,Victoria,Small
YQC,Windsor International Airport,274218,Canada,Windsor,Non-Hub
YWG,Winnipeg James Armstrong Richardson International Airport,3778035,Canada,Winnipeg,Medium
ACA,Acapulco International Airport,730382,Mexico,Acapulco,Small
AGU,Aguascalientes International Airport,621008,Mexico,Aguascalientes,Small
CUN,Cancún International Airport,19596485,Mexico,Cancún,Large
CUU,Chihuahua International Airport,1110513,Mexico,Chihuahua City,Small
CME,Ciudad del Carmen International Airport,623154,Mexico,Ciudad del Carmen,Small
CZM,Cozumel International Airport,553776,Mexico,Cozumel,Small
CUL,Culiacán International Airport,1432315,Mexico,Culiacán,Small
DGO,Durango International Airport,315835,Mexico,Durango,Non-Hub
GDL,Miguel Hidalgo y Costilla Guadalajara International Airport,9758516,Mexico,Guadalajara,Medium
HMO,Hermosillo International Airport,1349300,Mexico,Hermosillo,Small
HUX,Bahías de Huatulco International Airport,618767,Mexico,Huatulco,Small
ZIH,Ixtapa-Zihuatanejo International Airport,562099,Mexico,Ixtapa,Small
BJX,Bajío International Airport,1492100,Mexico,León,Small
LTO,Loreto International Airport,57907,Mexico,Loreto,Non-Hub
SJD,Los Cabos International Airport,3523010,Mexico,Los Cabos,Medium
ZLO,Playa de Oro International Airport,169485,Mexico,Manzanillo,Non-Hub
MZT,Mazatlán International Airport,853409,Mexico,Mazatlán,Small
MID,Mérida International Airport,1663616,Mexico,Mérida,Small
MEX,Mexico City International Airport,38433078,Mexico,Mexico City,Large
MTY,Monterrey International Airport,8461917,Mexico,Monterrey,Medium
MLM,General Francisco Mujica International Airport,467297,Mexico,Morelia,Small
OAX,Oaxaca International Airport,663187,Mexico,Oaxaca City,Small
PBC,Puebla International Airport,327811,Mexico,Puebla,Non-Hub
PVR,Licenciado Gustavo Díaz Ordaz International Airport,3517801,Mexico,Puerto Vallarta,Medium
REX,General Lucio Blanco International Airport,466934,Mexico,Reynosa,Small
SLW,Saltillo Airport,74419,Mexico,Saltillo,Non-Hub
SLP,San Luis Potosí International Airport,444469,Mexico,San Luis Potosí City,Small
TAM,Tampico International Airport,763744,Mexico,Tampico,Small
TIJ,Tijuana International Airport,4853797,Mexico,Tijuana,Medium
TRC,Torreón International Airport,556449,Mexico,Torreón,Small
TGZ,Tuxtla Gutiérrez International Airport,1121332,Mexico,Tuxtla Gutiérrez,Small
UPN,Uruapan International Airport,110067,Mexico,Uruapan,Non-Hub
VER,Veracruz International Airport,1249914,Mexico,Veracruz,Small
VSA,Villahermosa International Airport,1273140,Mexico,Villahermosa,Small
ZCL,Zacatecas International Airport,320065,Mexico,Zacatecas City,Non-Hub
AKC,Akron Executive Airport,,United States,Akron,Non-Hub/Reliever
ALB,Albany International Airport,,United States,Albany,Small
ABQ,Albuquerque International Sunport,,United States,Albuquerque,Medium
ANC,Ted Stevens Anchorage International Airport,,United States,Anchorage,Medium
ATW,Appleton International Airport,,United States,Appleton,Small
ATL,Hartsfield–Jackson Atlanta International Airport,,United States,Atlanta,Large
ACY,Atlantic City International Airport,,United States,Atlantic City,Small
AUS,Austin–Bergstrom International Airport,,United States,Austin (TX),Medium
BWI,Baltimore/Washington International Airport,,United States,Baltimore,Large
BGR,Bangor International Airport,,United States,Bangor,Non-Hub
BLI,Bellingham International Airport,,United States,Bellingham,Small
BHM,Birmingham–Shuttlesworth International Airport,,United States,Birmingham,Small
BOI,Boise Airport,,United States,Boise,Medium
BOS,Logan International Airport,,United States,Boston,Large
BUF,Buffalo Niagara International Airport,,United States,Buffalo,Medium
CLT,Charlotte Douglas International Airport,,United States,Charlotte,Large
CHS,Charleston International Airport,,United States,Charleston (SC),Medium
MDW,Midway International Airport,,United States,Chicago,Large
CVG,Cincinnati/Northern Kentucky International Airport,,United States,Cincinnati,Medium
CLE,Cleveland Hopkins International Airport,,United States,Cleveland,Medium
CMH,John Glenn Columbus International Airport,,United States,Columbus (OH),Medium
DFW,Dallas/Fort Worth International Airport,,United States,Dallas,Large
DAY,Dayton International Airport,,United States,Dayton (OH),Small
DEN,Denver International Airport,,United States,Denver,Large
DSM,Des Moines International Airport,,United States,Des Moines (IA),Small
DTW,Detroit Metropolitan Airport,,United States,Detroit,Large
ELP,El Paso International Airport,,United States,El Paso,Medium
FAI,Fairbanks International Airport,,United States,Fairbanks,Small
FLL,Fort Lauderdale–Hollywood International Airport,,United States,Fort Lauderdale,Large
RSW,Southwest Florida International Airport,,United States,Fort Myers,Medium
FAT,Fresno Yosemite International Airport,,United States,Fresno,Small
GRR,Gerald R. Ford International Airport,,United States,Grand Rapids,Medium
GRB,Green Bay–Austin Straubel International Airport,,United States,Green Bay,Small
GSO,Piedmont Triad International Airport,,United States,Greensboro,Small
MDT,Harrisburg International Airport,,United States,Harrisburg,Small
BDL,Bradley International Airport,,United States,Hartford (CT),Medium
ITO,Hilo International Airport,,United States,Hilo,Small
HNL,Daniel K. Inouye International Airport,,United States,Honolulu,Large
IAH,George Bush Intercontinental Airport,,United States,Houston,Large
HSV,Huntsville International Airport,,United States,Huntsville (AL),Small
IND,Indianapolis International Airport,,United States,Indianapolis,Medium
JAN,Jackson–Medgar Wiley Evers International Airport,,United States,Jackson (MS),Small
JAX,Jacksonville International Airport,,United States,Jacksonville,Medium
JNU,Juneau International Airport,,United States,Juneau,Non-Hub
MCI,Kansas City International Airport,,United States,Kansas City (MO),Medium
KTN,Ketchikan International Airport,,United States,Ketchikan,Non-Hub
EYW,Key West International Airport,,United States,Key West,Small
KOA,Kona International Airport,,United States,Kailua-Kona,Small
TYS,McGhee Tyson Airport,,United States,Knoxville,Small
LAL,Lakeland Linder International Airport,,United States,Lakeland,Reliever
LAN,Capital Region International Airport,,United States,Lansing,Non-Hub
LAS,McCarran International Airport,,United States,Las Vegas,Large
LIT,Clinton National Airport,,United States,Little Rock,Small
LAX,Los Angeles International Airport,,United States,Los Angeles,Large
SDF,Louisville International Airport,,United States,Louisville,Medium
MLB,Melbourne Orlando International Airport,,United States,Melbourne (FL),Non-Hub
MEM,Memphis International Airport,,United States,Memphis,Medium
MIA,Miami International Airport,,United States,Miami,Large
MAF,Midland International Air and Space Port,,United States,Midland,Small
MKE,General Mitchell International Airport,,United States,Milwaukee,Medium
MSP,Minneapolis–Saint Paul International Airport,,United States,Minneapolis/St. Paul,Large
MYR,Myrtle Beach International Airport,,United States,Myrtle Beach,Small
BNA,Nashville International Airport,,United States,Nashville,Medium
MSY,Louis Armstrong New Orleans International Airport,,United States,New Orleans,Medium
JFK,John F. Kennedy International Airport,,United States,New York City,Large
EWR,Newark Liberty International Airport,,United States,Newark,Large
SWF,Stewart International Airport,,United States,Newburgh,Small
ORF,Norfolk International Airport,,United States,Norfolk (VA),Medium
OAK,Oakland International Airport,,United States,Oakland,Medium
OKC,Will Rogers World Airport,,United States,Oklahoma City,Medium
OMA,Eppley Airfield,,United States,Omaha,Medium
ONT,Ontario International Airport,,United States,Ontario,Medium
SNA,John Wayne Airport,,United States,Orange County,Medium
MCO,Orlando International Airport,,United States,Orlando,Large
SFB,Orlando Sanford International Airport,,United States,Orlando/Sanford,Small
PSP,Palm Springs International Airport,,United States,Palm Springs,Small
ECP,Northwest Florida Beaches International Airport,,United States,Panama City (FL),Medium
PNS,Pensacola International Airport,,United States,Pensacola,Small
PHL,Philadelphia International Airport,,United States,Philadelphia,Large
PHX,Phoenix Sky Harbor International Airport,,United States,Phoenix,Large
AZA,Phoenix–Mesa Gateway Airport,,United States,Phoenix/Mesa,Small
PIT,Pittsburgh International Airport,,United States,Pittsburgh,Medium
PWM,Portland International Jetport,,United States,Portland (ME),Small
PDX,Portland International Airport,,United States,Portland (OR),Large
PVD,Rhode Island T. F. Green International Airport,,United States,Providence,Medium
RAC,Batten International Airport,,United States,Racine,Small
RDU,Raleigh–Durham International Airport,,United States,Raleigh/Durham,Medium
RNO,Reno–Tahoe International Airport,,United States,Reno,Medium
RIC,Richmond International Airport,,United States,Richmond (VA) (Sandston),Medium
RST,Rochester International Airport,,United States,Rochester (MN),Non-Hub
ROC,Greater Rochester International Airport,,United States,Rochester (NY),Small
RFD,Chicago Rockford International Airport,,United States,Rockford (IL),Non-Hub
SMF,Sacramento International Airport,,United States,Sacramento,Medium
SLC,Salt Lake City International Airport,,United States,Salt Lake City,Large
SAT,San Antonio International Airport,,United States,San Antonio,Medium
SBD,San Bernardino International Airport,,United States,San Bernardino,Reliever
SAN,San Diego International Airport,,United States,San Diego,Large
SFO,San Francisco International Airport,,United States,San Francisco,Large
SJC,San Jose International Airport,,United States,San Jose (CA),Medium
SRQ,Sarasota–Bradenton International Airport,,United States,Sarasota/Bradenton,Small
SAV,Savannah/Hilton Head International Airport,,United States,Savannah (GA)/Hilton Head (SC),Small
LKE,Kenmore Air Harbor Seaplane Base,,United States,Seattle,Reliever
SBM,Sheboygan County Memorial Airport,,United States,Sheboygan,Non-Hub
PAE,Paine Field,,United States,Snohomish County (WA),Reliever
GEG,Spokane International Airport,,United States,Spokane,Medium
STL,St. Louis Lambert International Airport,,United States,St. Louis,Medium
PIE,St. Pete–Clearwater International Airport,,United States,St. Petersburg (FL),Small
SYR,Syracuse Hancock International Airport,,United States,Syracuse,Small
TLH,Tallahassee International Airport,,United States,Tallahassee,Small
TPA,Tampa International Airport,,United States,Tampa,Large
TUS,Tucson International Airport,,United States,Tucson,Small
TUL,Tulsa International Airport,,United States,Tulsa,Small
DCA,Ronald Reagan Washington National Airport**,,United States,"Washington, D.C.",Large
PBI,Palm Beach International Airport,,United States,West Palm Beach,Medium
AVP,Wilkes-Barre/Scranton International Airport,,United States,Wilkes-Barre/Scranton,Small
ILM,Wilmington International Airport,,United States,Wilmington (NC),Small
